bridge_name,state,year_failed,cause,location_text,prefailure_nbi_year,nbi_data_available,download_url,fatalities,injuries,damage_cost_usd,notes
BIN 10085,NY,1993,scour,SR 355 in Frederick Co Monocacy River,1992,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN C3038,NY,1994,scour,Mabelvale West I 30,1993,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 1061800,NY,1996,pc,Peck Road NY 690,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 156,NY,1998,pc,Burke County I-40,1997,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3117,NY,1999,tc,"Pederstrain Bridge, Baltimore Co I-695",1998,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 5513810,NY,1999,tc,Lincoln Park Pedestrain Bridge Route 100,1998,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 1006720,NY,1999,pc,"Pedestrain Bridge, Saratoga Co. Route 9N",1998,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 100833,NY,2000,pc,I-81 (SB) NY 11,1999,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 1008332,NY,2000,pc,I-81 NB NY 11,1999,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 1053711,NY,2000,pc,"Route 690 SB, Onondaga Co. Route 370",1999,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 4443820,NY,2000,pc,Moore Road I-390 EB,1999,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 1070790,NY,2000,pc,Town Line Road I-390 SB,1999,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 1012999,NY,2000,pc,Route 26 Route 434,1999,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 1027530,NY,2001,tc,Route 58 WB Oswegatchie River,2000,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 1020662,NY,2001,pc,Route 29 I-87 NB,2000,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 1007632,NY,2001,pc,NY 17 NY 10,2000,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 5051740,NY,2001,pc,I-790 Utica Inter./Gensee,2000,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
